first_name,last_name,email,company,country,linkedin_url
Risingstars,,risingstars@burjuman.com,BurJuman,UAE,https://www.linkedin.com/company/burjuman
Leasing,,leasing@burjuman.com,BurJuman,UAE,https://www.linkedin.com/company/burjuman
Inquiries,,inquiries@pinoytourism.com,Pinoy Tourism - Dubai (Deira),UAE,https://www.linkedin.com/company/pinoytourismtravel
Dxbsupport,,dxbsupport@pinoytourism.com,Pinoy Tourism - Dubai (Deira),UAE,https://www.linkedin.com/company/pinoytourismtravel
Tirquaz,,tirquaz@majestichotels.com,Majestic City Retreat Hotel,UAE,https://www.linkedin.com/company/majestic-hotel
Beverage,,beverage@majestichotels.com.au,Majestic City Retreat Hotel,UAE,https://www.linkedin.com/company/majestic-hotel
Customercare,,customercare@afcholidays.com,AFC Holidays,UAE,https://www.linkedin.com/company/afcholidays
Consumerrelations,,consumerrelations@afcholidays.com,AFC Holidays,UAE,https://www.linkedin.com/company/afcholidays
Dm,,dm@theravizhotels.com,Raviz Center Point Hotel,UAE,https://www.linkedin.com/company/raviz-center-point-hotel-dubai
Vhinfo,,vhinfo@versailleshotel.ae,Raviz Center Point Hotel,UAE,https://www.linkedin.com/company/raviz-center-point-hotel-dubai
Information,,information@goldensands.ae,Golden Sands 10 Hotel Apartments,UAE,https://www.linkedin.com/company/golden-sands-hotel-apartments
Central,,central@savoydubai.ae,Savoy Park Hotel Apartments,UAE,https://www.linkedin.com/company/savoy-dubai-hotels
Suites,,suites@savoydubai.ae,Savoy Park Hotel Apartments,UAE,https://www.linkedin.com/company/savoy-dubai-hotels
Intvisas,,intvisas@raynatours.com,Rayna Tours,UAE,https://www.linkedin.com/company/raynatours
Boxoffice,,boxoffice@raynatours.com,Rayna Tours,UAE,https://www.linkedin.com/company/raynatours
Ikea,Dubai,ikea_dubai@alfuttaim.ae,Go Dubai Desert Safari Tours,UAE,https://www.linkedin.com/in/abu-dhabi-tour-from-dubai-2350851a8
Ikea,Abudhabi,ikea_abudhabi@alfuttaim.ae,Go Dubai Desert Safari Tours,UAE,https://www.linkedin.com/in/abu-dhabi-tour-from-dubai-2350851a8
Inquiries,,inquiries@riotravels.ae,Rio Travels,UAE,https://www.linkedin.com/company/rio-travels
Visa,,visa@riotravels.ae,Rio Travels,UAE,https://www.linkedin.com/company/rio-travels
Visa,,visa@garnetourism.com,Garnet Tourism LLC,UAE,https://www.linkedin.com/company/garnetourism
Dubaivisa,,dubaivisa@forevertourism.com,Forever Tourism LLC,UAE,https://www.linkedin.com/company/forever-tourism
